welc_resp.keys,welc_resp.rt,intr0_resp.keys,intr0_resp.rt,prep_resp.keys,prep_resp.corr,prep_resp.rt,preparation.thisRepN,preparation.thisTrialN,preparation.thisN,preparation.thisIndex,preparation.ran,preparation.order,letter10,letter20,corrAns0,participant,,date,expName,psychopyVersion,frameRate,outro_resp.keys,outro_resp.rt,instr1_resp.keys,instr1_resp.rt,resp.keys,resp.corr,resp.rt,letterMaster.thisRepN,letterMaster.thisTrialN,letterMaster.thisN,letterMaster.thisIndex,letterMaster.ran,letterMaster.order,letterset,letterset2,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,practice.order,letter1,letter2,corrAns,letterA,letterC,letterE,instr2_resp.keys,instr2_resp.rt,instr3_resp.keys,instr3_resp.rt,test_resp.keys,test_resp.rt,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,test.order,letter3,letter4,letterA2,letterB2,pickA,avoidB,outro_resp2.keys,outro_resp2.rt
space,1.822,space,15.977,c,1,0.643,1,0,10,1,1,9,U,L,c,,,2019-05-24_22h39.04.352,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,c,1,0.328,1,0,10,6,1,9,U,L,c,,,2019-05-24_22h39.04.352,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,c,1,0.293,1,0,10,4,1,9,U,L,c,,,2019-05-24_22h39.04.352,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,m,1,0.328,1,0,10,7,1,9,L,U,m,,,2019-05-24_22h39.04.352,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,c,1,0.241,1,0,10,0,1,9,U,L,c,,,2019-05-24_22h39.04.352,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,c,0,0.312,1,0,10,9,1,9,U,L,m,,,2019-05-24_22h39.04.352,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,m,0,0.361,1,0,10,8,1,9,L,U,c,,,2019-05-24_22h39.04.352,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,c,1,0.293,1,0,10,5,1,9,U,L,c,,,2019-05-24_22h39.04.352,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,m,1,0.312,1,0,10,2,1,9,L,U,m,,,2019-05-24_22h39.04.352,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,m,1,0.36,1,0,10,3,1,9,L,U,m,,,2019-05-24_22h39.04.352,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-24_22h39.04.352,Probabilistic Learning,3.1.0,60,space,8.961,space,25.328,c,1,0.423,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,6,0,180,0,1,179,s,J,c,c,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-24_22h39.04.352,Probabilistic Learning,3.1.0,60,,,,,m,0,0.408,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,6,0,180,21,1,179,V,W,c,,,c,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-24_22h39.04.352,Probabilistic Learning,3.1.0,60,,,,,m,1,0.461,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,6,0,180,5,1,179,J,s,m,m,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-24_22h39.04.352,Probabilistic Learning,3.1.0,60,,,,,m,1,0.492,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,6,0,180,16,1,179,b,o,m,,m,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-24_22h39.04.352,Probabilistic Learning,3.1.0,60,,,,,m,1,0.394,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,6,0,180,7,1,179,J,s,m,m,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-24_22h39.04.352,Probabilistic Learning,3.1.0,60,,,,,m,1,0.53,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,6,0,180,24,1,179,W,V,m,,,m,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-24_22h39.04.352,Probabilistic Learning,3.1.0,60,,,,,m,1,0.461,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,6,0,180,6,1,179,J,s,m,m,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-24_22h39.04.352,Probabilistic Learning,3.1.0,60,,,,,c,1,0.528,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,6,0,180,13,1,179,o,b,c,,c,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-24_22h39.04.352,Probabilistic Learning,3.1.0,60,,,,,m,1,0.395,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,6,0,180,4,1,179,J,s,m,m,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-24_22h39.04.352,Probabilistic Learning,3.1.0,60,,,,,c,1,0.395,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,6,0,180,11,1,179,o,b,c,,c,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-24_22h39.04.352,Probabilistic Learning,3.1.0,60,,,,,c,1,0.462,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,6,0,180,10,1,179,o,b,c,,c,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-24_22h39.04.352,Probabilistic Learning,3.1.0,60,,,,,c,1,0.594,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,6,0,180,1,1,179,s,J,c,c,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-24_22h39.04.352,Probabilistic Learning,3.1.0,60,,,,,m,0,0.478,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,6,0,180,17,1,179,b,o,c,,m,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-24_22h39.04.352,Probabilistic Learning,3.1.0,60,,,,,m,1,0.562,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,6,0,180,23,1,179,W,V,m,,,m,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-24_22h39.04.352,Probabilistic Learning,3.1.0,60,,,,,m,1,0.36,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,6,0,180,25,1,179,W,V,m,,,m,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-24_22h39.04.352,Probabilistic Learning,3.1.0,60,,,,,m,1,0.445,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,6,0,180,26,1,179,V,W,m,,,c,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-24_22h39.04.352,Probabilistic Learning,3.1.0,60,,,,,c,1,0.446,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,6,0,180,20,1,179,V,W,c,,,c,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-24_22h39.04.352,Probabilistic Learning,3.1.0,60,,,,,c,1,0.444,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,6,0,180,3,1,179,s,J,c,c,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-24_22h39.04.352,Probabilistic Learning,3.1.0,60,,,,,c,1,0.461,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,6,0,180,28,1,179,W,V,c,,,m,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-24_22h39.04.352,Probabilistic Learning,3.1.0,60,,,,,m,0,0.329,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,6,0,180,29,1,179,W,V,c,,,m,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-24_22h39.04.352,Probabilistic Learning,3.1.0,60,,,,,m,0,0.477,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,6,0,180,18,1,179,b,o,c,,m,,,,,,,,,,,,,,,,,,,,,
