welc_resp.keys,welc_resp.rt,intr0_resp.keys,intr0_resp.rt,prep_resp.keys,prep_resp.corr,prep_resp.rt,preparation.thisRepN,preparation.thisTrialN,preparation.thisN,preparation.thisIndex,preparation.ran,preparation.order,letter10,letter20,corrAns0,Participant ID*,date,expName,psychopyVersion,frameRate,outro_resp.keys,outro_resp.rt,instr1_resp.keys,instr1_resp.rt,resp.keys,resp.corr,letterMaster.thisRepN,letterMaster.thisTrialN,letterMaster.thisN,letterMaster.thisIndex,letterMaster.ran,letterMaster.order,letterset,letterset2,letterset3,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,practice.order,letter1,letter2,corrAns,letterA,letterC,letterE,resp.rt,instr2_resp.keys,instr2_resp.rt,instr3_resp.keys,instr3_resp.rt,test_resp.keys,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,test.order,letter3,letter4,letterA2,letterB2,pickA,avoidB
,,,,,,,,,,,,,,,,11,2019-06-04_23h38.09.380,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,10,1,179,l13.jpg,l14.jpg,c,,c,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,2019-06-04_23h38.09.380,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,3,1,179,l11.jpg,l12.jpg,c,c,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,2019-06-04_23h38.09.380,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,2,1,179,l11.jpg,l12.jpg,c,c,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,2019-06-04_23h38.09.380,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,14,1,179,l14.jpg,l13.jpg,m,,m,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,2019-06-04_23h38.09.380,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,23,1,179,l16.jpg,l15.jpg,m,,,m,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,2019-06-04_23h38.09.380,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,15,1,179,l14.jpg,l13.jpg,m,,m,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,2019-06-04_23h38.09.380,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,22,1,179,l15.jpg,l16.jpg,c,,,c,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,2019-06-04_23h38.09.380,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,26,1,179,l15.jpg,l16.jpg,m,,,c,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,2019-06-04_23h38.09.380,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,20,1,179,l15.jpg,l16.jpg,c,,,c,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,2019-06-04_23h38.09.380,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,16,1,179,l14.jpg,l13.jpg,m,,m,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,2019-06-04_23h38.09.380,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,6,1,179,l12.jpg,l11.jpg,m,m,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,2019-06-04_23h38.09.380,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,21,1,179,l15.jpg,l16.jpg,c,,,c,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,2019-06-04_23h38.09.380,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,28,1,179,l16.jpg,l15.jpg,c,,,m,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,2019-06-04_23h38.09.380,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,5,1,179,l12.jpg,l11.jpg,m,m,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,2019-06-04_23h38.09.380,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,0,1,179,l11.jpg,l12.jpg,c,c,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,2019-06-04_23h38.09.380,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,19,1,179,l13.jpg,l14.jpg,m,,c,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,2019-06-04_23h38.09.380,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,29,1,179,l16.jpg,l15.jpg,c,,,m,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,2019-06-04_23h38.09.380,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,27,1,179,l15.jpg,l16.jpg,m,,,c,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,2019-06-04_23h38.09.380,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,9,1,179,l12.jpg,l11.jpg,c,m,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,2019-06-04_23h38.09.380,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,13,1,179,l13.jpg,l14.jpg,c,,c,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,2019-06-04_23h38.09.380,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,8,1,179,l11.jpg,l12.jpg,m,c,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,2019-06-04_23h38.09.380,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,10,1,179,l13.jpg,l14.jpg,c,,c,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,2019-06-04_23h38.09.380,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,9,1,179,l12.jpg,l11.jpg,c,m,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,2019-06-04_23h38.09.380,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,13,1,179,l13.jpg,l14.jpg,c,,c,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,2019-06-04_23h38.09.380,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,14,1,179,l14.jpg,l13.jpg,m,,m,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,2019-06-04_23h38.09.380,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,26,1,179,l15.jpg,l16.jpg,m,,,c,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,2019-06-04_23h38.09.380,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,0,1,179,l11.jpg,l12.jpg,c,c,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,2019-06-04_23h38.09.380,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,1,1,179,l11.jpg,l12.jpg,c,c,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,2019-06-04_23h38.09.380,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,21,1,179,l15.jpg,l16.jpg,c,,,c,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,2019-06-04_23h38.09.380,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,17,1,179,l14.jpg,l13.jpg,c,,m,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,2019-06-04_23h38.09.380,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,16,1,179,l14.jpg,l13.jpg,m,,m,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,2019-06-04_23h38.09.380,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,4,1,179,l12.jpg,l11.jpg,m,m,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,2019-06-04_23h38.09.380,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,15,1,179,l14.jpg,l13.jpg,m,,m,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,2019-06-04_23h38.09.380,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,23,1,179,l16.jpg,l15.jpg,m,,,m,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,2019-06-04_23h38.09.380,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,12,1,179,l13.jpg,l14.jpg,c,,c,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,2019-06-04_23h38.09.380,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,29,1,179,l16.jpg,l15.jpg,c,,,m,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,2019-06-04_23h38.09.380,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,25,1,179,l16.jpg,l15.jpg,m,,,m,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,2019-06-04_23h38.09.380,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,7,1,179,l12.jpg,l11.jpg,m,m,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,2019-06-04_23h38.09.380,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,2,1,179,l11.jpg,l12.jpg,c,c,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,2019-06-04_23h38.09.380,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,6,1,179,l12.jpg,l11.jpg,m,m,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,2019-06-04_23h38.09.380,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,11,1,179,l13.jpg,l14.jpg,c,,c,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,2019-06-04_23h38.09.380,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,27,1,179,l15.jpg,l16.jpg,m,,,c,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,2019-06-04_23h38.09.380,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,8,1,179,l11.jpg,l12.jpg,m,c,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,2019-06-04_23h38.09.380,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,3,1,179,l11.jpg,l12.jpg,c,c,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,2019-06-04_23h38.09.380,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,22,1,179,l15.jpg,l16.jpg,c,,,c,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,2019-06-04_23h38.09.380,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,20,1,179,l15.jpg,l16.jpg,c,,,c,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,2019-06-04_23h38.09.380,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,5,1,179,l12.jpg,l11.jpg,m,m,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,2019-06-04_23h38.09.380,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,18,1,179,l14.jpg,l13.jpg,c,,m,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,2019-06-04_23h38.09.380,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,24,1,179,l16.jpg,l15.jpg,m,,,m,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,2019-06-04_23h38.09.380,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,19,1,179,l13.jpg,l14.jpg,m,,c,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,2019-06-04_23h38.09.380,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,28,1,179,l16.jpg,l15.jpg,c,,,m,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,2019-06-04_23h38.09.380,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,27,1,179,l15.jpg,l16.jpg,m,,,c,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,2019-06-04_23h38.09.380,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,20,1,179,l15.jpg,l16.jpg,c,,,c,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,2019-06-04_23h38.09.380,Probabilistic Learning,3.1.0,60,,,,,,0,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,13,1,179,l13.jpg,l14.jpg,c,,c,,,,,,,,,,,,,,,,,,,
