welc_resp.keys,welc_resp.rt,intr0_resp.keys,intr0_resp.rt,prep_resp.keys,prep_resp.corr,prep_resp.rt,preparation.thisRepN,preparation.thisTrialN,preparation.thisN,preparation.thisIndex,preparation.ran,preparation.order,letter10,letter20,corrAns0,participant,,date,expName,psychopyVersion,frameRate,outro_resp.keys,outro_resp.rt,instr1_resp.keys,instr1_resp.rt,resp.keys,resp.corr,resp.rt,letterMaster.thisRepN,letterMaster.thisTrialN,letterMaster.thisN,letterMaster.thisIndex,letterMaster.ran,letterMaster.order,letterset,letterset2,letterset3,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,practice.order,letter1,letter2,corrAns,letterA,letterC,letterE,instr2_resp.keys,instr2_resp.rt,instr3_resp.keys,instr3_resp.rt,test_resp.keys,test_resp.rt,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,test.order,letter3,letter4,letterA2,letterB2,pickA,avoidB,check_resp.keys,check_resp.rt,learnt_resp.keys,learnt_resp.rt,checks.thisRepN,checks.thisTrialN,checks.thisN,checks.thisIndex,checks.ran,checks.order,question,learnt_letters,numbers,outro_resp2.keys,outro_resp2.rt
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,space,7.874,space,12.207,m,0,0.646,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,2,1,179,s,J,c,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,m,1,0.397,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,16,1,179,b,o,m,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,m,1,0.364,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,4,1,179,J,s,m,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,m,1,0.363,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,8,1,179,s,J,m,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,m,0,0.38,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,17,1,179,b,o,c,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,m,1,0.231,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,7,1,179,J,s,m,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,m,1,0.381,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,24,1,179,W,V,m,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,m,1,0.313,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,6,1,179,J,s,m,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,m,1,0.164,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,26,1,179,V,W,m,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,m,1,0.312,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,27,1,179,V,W,m,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,m,1,0.212,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,5,1,179,J,s,m,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,m,0,0.531,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,29,1,179,W,V,c,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,c,0,0.329,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,15,1,179,b,o,m,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,c,1,0.445,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,13,1,179,o,b,c,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,m,0,0.481,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,28,1,179,W,V,c,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,m,1,0.364,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,25,1,179,W,V,m,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,c,1,0.431,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,0,1,179,s,J,c,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,m,1,0.363,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,23,1,179,W,V,m,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,c,1,0.414,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,18,1,179,b,o,c,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,c,1,0.481,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,11,1,179,o,b,c,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,c,1,0.464,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,3,1,179,s,J,c,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,c,1,0.497,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,20,1,179,V,W,c,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,c,1,0.395,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,22,1,179,V,W,c,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,m,1,0.545,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,14,1,179,b,o,m,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,c,1,0.447,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,1,1,179,s,J,c,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,c,0,0.781,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,19,1,179,o,b,m,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,c,1,0.48,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,10,1,179,o,b,c,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,m,0,0.478,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,21,1,179,V,W,c,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,c,1,0.414,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,12,1,179,o,b,c,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,m,0,0.747,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,9,1,179,J,s,c,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,c,1,0.397,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,3,1,179,s,J,c,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,c,0,0.481,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,8,1,179,s,J,m,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,c,0,0.48,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,27,1,179,V,W,m,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,m,1,0.48,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,5,1,179,J,s,m,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,c,1,0.363,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,12,1,179,o,b,c,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,c,1,0.429,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,22,1,179,V,W,c,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,c,0,0.579,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,19,1,179,o,b,m,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,c,1,0.397,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,18,1,179,b,o,c,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,c,1,0.53,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,0,1,179,s,J,c,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,c,0,0.43,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,26,1,179,V,W,m,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,c,1,0.332,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,9,1,179,J,s,c,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,m,0,0.481,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,28,1,179,W,V,c,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,c,1,0.481,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,21,1,179,V,W,c,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,m,1,0.513,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,25,1,179,W,V,m,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,m,0,0.377,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,1,1,179,s,J,c,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,c,0,0.415,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,15,1,179,b,o,m,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,m,1,0.447,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,6,1,179,J,s,m,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,c,1,0.664,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,13,1,179,o,b,c,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,c,1,0.414,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,10,1,179,o,b,c,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,m,1,0.481,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,16,1,179,b,o,m,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,c,1,0.397,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,11,1,179,o,b,c,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,m,0,0.431,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,17,1,179,b,o,c,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,m,0,0.447,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,29,1,179,W,V,c,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,c,1,0.414,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,2,1,179,s,J,c,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,m,1,0.414,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,4,1,179,J,s,m,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,m,1,0.347,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,7,1,179,J,s,m,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,m,1,0.431,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,24,1,179,W,V,m,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,c,1,0.364,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,20,1,179,V,W,c,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,m,1,0.481,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,14,1,179,b,o,m,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,m,1,0.446,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,,,,,,,,,,,,,space,1.028,space,9.627,m,0.064,2,0,92,30,1,91,J,V,B,E,,m,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,,,,,,,,,,,,,,,,,m,0.231,2,0,92,43,1,91,V,b,e,d,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,,,,,,,,,,,,,,,,,m,0.164,2,0,92,44,1,91,b,W,d,f,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,,,,,,,,,,,,,,,,,m,0.064,2,0,92,23,1,91,J,o,B,C,,m,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,,,,,,,,,,,,,,,,,m,0.214,2,0,92,27,1,91,J,b,B,D,,m,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,,,,,,,,,,,,,,,,,m,0.163,2,0,92,31,1,91,J,V,B,E,,m,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,,,,,,,,,,,,,,,,,m,0.18,2,0,92,6,1,91,s,o,A,C,c,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,,,,,,,,,,,,,,,,,m,0.114,2,0,92,39,1,91,V,o,e,c,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,,,,,,,,,,,,,,,,,m,0.164,2,0,92,4,1,91,V,W,E,F,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,,,,,,,,,,,,,,,,,m,0.247,2,0,92,19,1,91,s,W,A,F,c,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_19h23.15.838,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,,,,,,,,,,,,,,,,,m,0.064,2,0,92,32,1,91,V,J,E,B,,c,,,,,,,,,,,,,,,
