welc_resp.keys,welc_resp.rt,instr0_resp.keys,instr0_resp.rt,prep_resp.keys,prep_resp.corr,prep_resp.rt,preparation.thisRepN,preparation.thisTrialN,preparation.thisN,preparation.thisIndex,preparation.ran,preparation.order,letter10,letter20,corrAns0,participant,,date,expName,psychopyVersion,frameRate,outro_resp.keys,outro_resp.rt,instr1_resp.keys,instr1_resp.rt,resp.keys,resp.corr,resp.rt,letterMaster.thisRepN,letterMaster.thisTrialN,letterMaster.thisN,letterMaster.thisIndex,letterMaster.ran,letterMaster.order,letterset,letterset2,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,practice.order,letter1,letter2,corrAns,letterA,letterC,letterE,instr2_resp.keys,instr2_resp.rt,instr3_resp.keys,instr3_resp.rt,test_resp.keys,test_resp.rt,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,test.order,letter3,letter4,letterA2,letterB2,pickA,avoidB,outro_resp2.keys,outro_resp2.rt
space,5.054,space,0.788,m,1,0.506,1,0,10,9,1,9,U,L,m,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,m,0,0.014,1,0,10,6,1,9,U,L,c,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,m,0,0.212,1,0,10,5,1,9,U,L,c,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,1,0,10,8,1,9,L,U,c,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,1,0,10,3,1,9,L,U,m,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,1,0,10,1,1,9,U,L,c,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,1,0,10,0,1,9,U,L,c,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,1,0,10,2,1,9,L,U,m,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,1,0,10,7,1,9,L,U,m,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,1,0,10,4,1,9,U,L,c,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,space,1.377,space,0.926,c,1,0.876,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,13,1,179,O,d,c,,c,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,c,1,0.543,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,22,1,179,I,L,c,,,c,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,0,0.344,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,29,1,179,L,I,c,,,m,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,c,0,0.392,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,8,1,179,A,a,m,c,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,c,1,0.428,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,20,1,179,I,L,c,,,c,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,1,0.395,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,7,1,179,a,A,m,m,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,0,0.413,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,9,1,179,a,A,c,m,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,c,1,0.394,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,2,1,179,A,a,c,c,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,1,0.377,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,24,1,179,L,I,m,,,m,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,1,0.428,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,14,1,179,d,O,m,,m,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,1,0.346,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,5,1,179,a,A,m,m,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,1,0.378,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,25,1,179,L,I,m,,,m,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,c,0,0.444,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,19,1,179,O,d,m,,c,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,c,1,0.376,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,21,1,179,I,L,c,,,c,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,c,0,0.344,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,27,1,179,I,L,m,,,c,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,m,1,0.412,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,16,1,179,d,O,m,,m,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h57.38.185,Probabilistic Learning,3.1.0,60,,,,,c,1,0.394,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,1,1,179,A,a,c,c,,,,,,,,,,,,,,,,,,,,,,
