welc_resp.keys,welc_resp.rt,instr0_resp.keys,instr0_resp.rt,prep_resp.keys,prep_resp.corr,prep_resp.rt,preparation.thisRepN,preparation.thisTrialN,preparation.thisN,preparation.thisIndex,preparation.ran,preparation.order,letter10,letter20,corrAns0,participant,,date,expName,psychopyVersion,frameRate,outro_resp.keys,outro_resp.rt,instr1_resp.keys,instr1_resp.rt,resp.keys,resp.corr,resp.rt,letterMaster.thisRepN,letterMaster.thisTrialN,letterMaster.thisN,letterMaster.thisIndex,letterMaster.ran,letterMaster.order,letterset,letterset2,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,practice.order,letter1,letter2,corrAns,letterA,letterC,letterE,instr2_resp.keys,instr2_resp.rt,instr3_resp.keys,instr3_resp.rt,test_resp.keys,test_resp.rt,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,test.order,letter3,letter4,letterA2,letterB2,pickA,avoidB,outro_resp2.keys,outro_resp2.rt
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,m,0,0.813,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,6,0,180,22,1,179,M,n,c,,,c,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,m,1,0.645,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,6,0,180,14,1,179,i,c,m,,m,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,m,0,0.562,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,6,0,180,21,1,179,M,n,c,,,c,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,m,0,0.595,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,6,0,180,1,1,179,k,R,c,c,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,m,0,0.63,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,6,0,180,18,1,179,i,c,c,,m,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,m,0,0.562,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,6,0,180,3,1,179,k,R,c,c,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,m,1,0.479,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,6,0,180,16,1,179,i,c,m,,m,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,m,0,0.528,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,6,0,180,0,1,179,k,R,c,c,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,c,0,0.394,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,6,0,180,5,1,179,R,k,m,m,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,c,0,0.43,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,6,0,180,5,1,179,R,k,m,m,,,,,,,,,,,,,,,,,,,,,,
