welc_resp.keys,welc_resp.rt,instr0_resp.keys,instr0_resp.rt,prep_resp.keys,prep_resp.corr,prep_resp.rt,preparation.thisRepN,preparation.thisTrialN,preparation.thisN,preparation.thisIndex,preparation.ran,preparation.order,letter10,letter20,corrAns0,participant,,date,expName,psychopyVersion,frameRate,outro_resp.keys,outro_resp.rt,instr1_resp.keys,instr1_resp.rt,resp.keys,resp.corr,resp.rt,letterMaster.thisRepN,letterMaster.thisTrialN,letterMaster.thisN,letterMaster.thisIndex,letterMaster.ran,letterMaster.order,letterset,letterset2,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,practice.order,letter1,letter2,corrAns,letterA,letterC,letterE,instr2_resp.keys,instr2_resp.rt,instr3_resp.keys,instr3_resp.rt,test_resp.keys,test_resp.rt,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,test.order,letter3,letter4,letterA2,letterB2,pickA,avoidB,outro_resp2.keys,outro_resp2.rt
space,0.855,space,0.452,c,1,0.308,1,0,10,6,1,9,U,L,c,,,2019-05-23_19h05.03.611,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,m,1,0.264,1,0,10,3,1,9,L,U,m,,,2019-05-23_19h05.03.611,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,c,1,0.197,1,0,10,1,1,9,U,L,c,,,2019-05-23_19h05.03.611,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,c,1,0.345,1,0,10,4,1,9,U,L,c,,,2019-05-23_19h05.03.611,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,c,1,0.262,1,0,10,8,1,9,L,U,c,,,2019-05-23_19h05.03.611,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,c,1,0.28,1,0,10,0,1,9,U,L,c,,,2019-05-23_19h05.03.611,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,m,1,0.328,1,0,10,7,1,9,L,U,m,,,2019-05-23_19h05.03.611,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,c,0,0.23,1,0,10,9,1,9,U,L,m,,,2019-05-23_19h05.03.611,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,c,1,0.278,1,0,10,5,1,9,U,L,c,,,2019-05-23_19h05.03.611,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,m,1,0.313,1,0,10,2,1,9,L,U,m,,,2019-05-23_19h05.03.611,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h05.03.611,Probabilistic Learning,3.1.0,60,space,0.562,space,0.501,c,0,0.395,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,15,1,179,G,h,m,,m,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h05.03.611,Probabilistic Learning,3.1.0,60,,,,,c,0,0.297,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,19,1,179,h,G,m,,c,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h05.03.611,Probabilistic Learning,3.1.0,60,,,,,m,0,0.331,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,18,1,179,G,h,c,,m,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h05.03.611,Probabilistic Learning,3.1.0,60,,,,,c,1,0.263,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,10,1,179,h,G,c,,c,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h05.03.611,Probabilistic Learning,3.1.0,60,,,,,c,1,0.394,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,21,1,179,j,S,c,,,c,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h05.03.611,Probabilistic Learning,3.1.0,60,,,,,c,1,0.445,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,1,1,179,Q,B,c,c,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h05.03.611,Probabilistic Learning,3.1.0,60,,,,,m,1,0.43,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,7,1,179,B,Q,m,m,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h05.03.611,Probabilistic Learning,3.1.0,60,,,,,m,0,0.463,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,29,1,179,S,j,c,,,m,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h05.03.611,Probabilistic Learning,3.1.0,60,,,,,m,1,0.462,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,16,1,179,G,h,m,,m,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h05.03.611,Probabilistic Learning,3.1.0,60,,,,,c,1,0.313,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,2,1,179,Q,B,c,c,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h05.03.611,Probabilistic Learning,3.1.0,60,,,,,c,1,0.38,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,13,1,179,h,G,c,,c,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h05.03.611,Probabilistic Learning,3.1.0,60,,,,,m,1,0.38,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,25,1,179,S,j,m,,,m,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h05.03.611,Probabilistic Learning,3.1.0,60,,,,,m,1,0.347,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,23,1,179,S,j,m,,,m,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h05.03.611,Probabilistic Learning,3.1.0,60,,,,,c,1,0.329,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,17,1,179,G,h,c,,m,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h05.03.611,Probabilistic Learning,3.1.0,60,,,,,m,1,0.513,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,6,1,179,B,Q,m,m,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_19h05.03.611,Probabilistic Learning,3.1.0,60,,,,,m,0,0.43,1,0,6,4,1,5,hiragana5.xlsx,hiragana51.xlsx,6,0,180,9,1,179,B,Q,c,m,,,,,,,,,,,,,,,,,,,,,,
