welc_resp.keys,welc_resp.rt,intr0_resp.keys,intr0_resp.rt,prep_resp.keys,prep_resp.corr,prep_resp.rt,preparation.thisRepN,preparation.thisTrialN,preparation.thisN,preparation.thisIndex,preparation.ran,preparation.order,letter10,letter20,corrAns0,participant,,date,expName,psychopyVersion,frameRate,outro_resp.keys,outro_resp.rt,instr1_resp.keys,instr1_resp.rt,resp.keys,resp.corr,resp.rt,letterMaster.thisRepN,letterMaster.thisTrialN,letterMaster.thisN,letterMaster.thisIndex,letterMaster.ran,letterMaster.order,letterset,letterset2,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,practice.order,letter1,letter2,corrAns,letterA,letterC,letterE,instr2_resp.keys,instr2_resp.rt,instr3_resp.keys,instr3_resp.rt,test_resp.keys,test_resp.rt,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,test.order,letter3,letter4,letterA2,letterB2,pickA,avoidB,outro_resp2.keys,outro_resp2.rt
space,0.58,space,0.346,m,0,0.656,1,0,10,6,1,9,U,L,c,,,2019-05-27_15h13.40.574,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,m,1,0.328,1,0,10,3,1,9,L,U,m,,,2019-05-27_15h13.40.574,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,m,1,0.33,1,0,10,7,1,9,L,U,m,,,2019-05-27_15h13.40.574,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,c,1,0.314,1,0,10,5,1,9,U,L,c,,,2019-05-27_15h13.40.574,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,c,1,0.347,1,0,10,4,1,9,U,L,c,,,2019-05-27_15h13.40.574,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,c,0,0.33,1,0,10,9,1,9,U,L,m,,,2019-05-27_15h13.40.574,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,c,1,0.312,1,0,10,0,1,9,U,L,c,,,2019-05-27_15h13.40.574,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,c,1,0.279,1,0,10,1,1,9,U,L,c,,,2019-05-27_15h13.40.574,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,m,0,0.313,1,0,10,8,1,9,L,U,c,,,2019-05-27_15h13.40.574,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,m,1,0.345,1,0,10,2,1,9,L,U,m,,,2019-05-27_15h13.40.574,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_15h13.40.574,Probabilistic Learning,3.1.0,60,space,0.773,space,0.314,m,1,0.677,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,6,0,180,25,1,179,L,I,m,,,m,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_15h13.40.574,Probabilistic Learning,3.1.0,60,,,,,m,0,0.314,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,6,0,180,28,1,179,L,I,c,,,m,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_15h13.40.574,Probabilistic Learning,3.1.0,60,,,,,c,1,0.512,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,6,0,180,12,1,179,O,d,c,,c,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_15h13.40.574,Probabilistic Learning,3.1.0,60,,,,,c,1,0.429,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,6,0,180,2,1,179,A,a,c,c,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_15h13.40.574,Probabilistic Learning,3.1.0,60,,,,,c,0,0.431,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,6,0,180,26,1,179,I,L,m,,,c,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_15h13.40.574,Probabilistic Learning,3.1.0,60,,,,,c,1,0.48,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,6,0,180,11,1,179,O,d,c,,c,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_15h13.40.574,Probabilistic Learning,3.1.0,60,,,,,m,1,0.565,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,6,0,180,7,1,179,a,A,m,m,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-27_15h13.40.574,Probabilistic Learning,3.1.0,60,,,,,m,1,0.413,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,6,0,180,24,1,179,L,I,m,,,m,,,,,,,,,,,,,,,,,,,,
