welc_resp.keys,welc_resp.rt,instr0_resp.keys,instr0_resp.rt,prep_resp.keys,prep_resp.corr,prep_resp.rt,preparation.thisRepN,preparation.thisTrialN,preparation.thisN,preparation.thisIndex,preparation.ran,preparation.order,letter10,letter20,corrAns0,participant,,date,expName,psychopyVersion,frameRate,outro_resp.keys,outro_resp.rt,instr1_resp.keys,instr1_resp.rt,resp.keys,resp.corr,resp.rt,letterMaster.thisRepN,letterMaster.thisTrialN,letterMaster.thisN,letterMaster.thisIndex,letterMaster.ran,letterMaster.order,letterset,letterset2,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,practice.order,letter1,letter2,corrAns,letterA,letterC,letterE,instr2_resp.keys,instr2_resp.rt,instr3_resp.keys,instr3_resp.rt,test_resp.keys,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,test.order,letter3,letter4,letterA2,letterB2,pickA,avoidB,test_resp.rt,outro_resp2.keys,outro_resp2.rt
,,,,,,,,,,,,,,,,,,2019-05-23_22h01.24.188,Probabilistic Learning,3.1.0,60,,,,,c,1,0.509,1,0,6,2,1,5,hiragana3.xlsx,hiragana31.xlsx,6,0,180,10,1,179,f,e,c,,c,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h01.24.188,Probabilistic Learning,3.1.0,60,,,,,c,1,0.625,1,0,6,2,1,5,hiragana3.xlsx,hiragana31.xlsx,6,0,180,0,1,179,P,t,c,c,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h01.24.188,Probabilistic Learning,3.1.0,60,,,,,m,0,0.428,1,0,6,2,1,5,hiragana3.xlsx,hiragana31.xlsx,6,0,180,29,1,179,q,T,c,,,m,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h01.24.188,Probabilistic Learning,3.1.0,60,,,,,c,1,0.379,1,0,6,2,1,5,hiragana3.xlsx,hiragana31.xlsx,6,0,180,22,1,179,T,q,c,,,c,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h01.24.188,Probabilistic Learning,3.1.0,60,,,,,c,0,0.463,1,0,6,2,1,5,hiragana3.xlsx,hiragana31.xlsx,6,0,180,19,1,179,f,e,m,,c,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h01.24.188,Probabilistic Learning,3.1.0,60,,,,,m,1,0.51,1,0,6,2,1,5,hiragana3.xlsx,hiragana31.xlsx,6,0,180,14,1,179,e,f,m,,m,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h01.24.188,Probabilistic Learning,3.1.0,60,,,,,c,1,0.398,1,0,6,2,1,5,hiragana3.xlsx,hiragana31.xlsx,6,0,180,2,1,179,P,t,c,c,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h01.24.188,Probabilistic Learning,3.1.0,60,,,,,m,0,0.629,1,0,6,2,1,5,hiragana3.xlsx,hiragana31.xlsx,6,0,180,17,1,179,e,f,c,,m,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h01.24.188,Probabilistic Learning,3.1.0,60,,,,,c,1,0.445,1,0,6,2,1,5,hiragana3.xlsx,hiragana31.xlsx,6,0,180,1,1,179,P,t,c,c,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h01.24.188,Probabilistic Learning,3.1.0,60,,,,,c,1,0.394,1,0,6,2,1,5,hiragana3.xlsx,hiragana31.xlsx,6,0,180,12,1,179,f,e,c,,c,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h01.24.188,Probabilistic Learning,3.1.0,60,,,,,c,0,0.425,1,0,6,2,1,5,hiragana3.xlsx,hiragana31.xlsx,6,0,180,8,1,179,P,t,m,c,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h01.24.188,Probabilistic Learning,3.1.0,60,,,,,c,1,0.479,1,0,6,2,1,5,hiragana3.xlsx,hiragana31.xlsx,6,0,180,11,1,179,f,e,c,,c,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h01.24.188,Probabilistic Learning,3.1.0,60,,,,,c,0,0.427,1,0,6,2,1,5,hiragana3.xlsx,hiragana31.xlsx,6,0,180,6,1,179,t,P,m,m,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h01.24.188,Probabilistic Learning,3.1.0,60,,,,,m,0,0.428,1,0,6,2,1,5,hiragana3.xlsx,hiragana31.xlsx,6,0,180,18,1,179,e,f,c,,m,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h01.24.188,Probabilistic Learning,3.1.0,60,,,,,c,1,0.462,1,0,6,2,1,5,hiragana3.xlsx,hiragana31.xlsx,6,0,180,21,1,179,T,q,c,,,c,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h01.24.188,Probabilistic Learning,3.1.0,60,,,,,m,1,0.58,1,0,6,2,1,5,hiragana3.xlsx,hiragana31.xlsx,6,0,180,15,1,179,e,f,m,,m,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h01.24.188,Probabilistic Learning,3.1.0,60,,,,,m,1,0.563,1,0,6,2,1,5,hiragana3.xlsx,hiragana31.xlsx,6,0,180,7,1,179,t,P,m,m,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h01.24.188,Probabilistic Learning,3.1.0,60,,,,,m,1,0.513,1,0,6,2,1,5,hiragana3.xlsx,hiragana31.xlsx,,,,,,,,,,,,,space,3.171,space,1.03,,2,0,92,37,1,91,q,t,F,B,,c,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h01.24.188,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,2,1,5,hiragana3.xlsx,hiragana31.xlsx,,,,,,,,,,,,,,,,,,2,0,92,28,1,91,e,t,D,B,,c,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h01.24.188,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,2,1,5,hiragana3.xlsx,hiragana31.xlsx,,,,,,,,,,,,,,,,,,2,0,92,1,1,91,t,P,B,A,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h01.24.188,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,2,1,5,hiragana3.xlsx,hiragana31.xlsx,,,,,,,,,,,,,,,,,,2,0,92,13,1,91,e,P,D,A,m,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h01.24.188,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,2,1,5,hiragana3.xlsx,hiragana31.xlsx,,,,,,,,,,,,,,,,,,2,0,92,36,1,91,q,t,F,B,,c,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h01.24.188,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,2,1,5,hiragana3.xlsx,hiragana31.xlsx,,,,,,,,,,,,,,,,,,2,0,92,7,1,91,P,f,A,C,c,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h01.24.188,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,2,1,5,hiragana3.xlsx,hiragana31.xlsx,,,,,,,,,,,,,,,,,,2,0,92,5,1,91,q,T,F,E,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h01.24.188,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,2,1,5,hiragana3.xlsx,hiragana31.xlsx,,,,,,,,,,,,,,,,,,2,0,92,45,1,91,q,e,f,d,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h01.24.188,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,2,1,5,hiragana3.xlsx,hiragana31.xlsx,,,,,,,,,,,,,,,,,,2,0,92,41,1,91,q,f,f,c,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h01.24.188,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,2,1,5,hiragana3.xlsx,hiragana31.xlsx,,,,,,,,,,,,,,,,,,2,0,92,17,1,91,T,P,E,A,m,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h01.24.188,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,2,1,5,hiragana3.xlsx,hiragana31.xlsx,,,,,,,,,,,,,,,,,,2,0,92,10,1,91,P,e,A,D,c,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h01.24.188,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,2,1,5,hiragana3.xlsx,hiragana31.xlsx,,,,,,,,,,,,,,,,,,2,0,92,2,1,91,f,e,C,D,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h01.24.188,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,2,1,5,hiragana3.xlsx,hiragana31.xlsx,,,,,,,,,,,,,,,,,,2,0,92,25,1,91,f,t,C,B,,c,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h01.24.188,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,2,1,5,hiragana3.xlsx,hiragana31.xlsx,,,,,,,,,,,,,,,,,,2,0,92,38,1,91,f,T,C,E,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h01.24.188,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,2,1,5,hiragana3.xlsx,hiragana31.xlsx,,,,,,,,,,,,,,,,,,2,0,92,18,1,91,P,q,A,F,c,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h01.24.188,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,2,1,5,hiragana3.xlsx,hiragana31.xlsx,,,,,,,,,,,,,,,,,m,2,0,92,35,1,91,t,q,B,F,,m,0.245,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h01.24.188,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,2,1,5,hiragana3.xlsx,hiragana31.xlsx,,,,,,,,,,,,,,,,,m,2,0,92,19,1,91,P,q,A,F,c,,0.228,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h01.24.188,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,2,1,5,hiragana3.xlsx,hiragana31.xlsx,,,,,,,,,,,,,,,,,m,2,0,92,6,1,91,P,f,A,C,c,,0.227,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h01.24.188,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,2,1,5,hiragana3.xlsx,hiragana31.xlsx,,,,,,,,,,,,,,,,,m,2,0,92,26,1,91,t,e,B,D,,m,0.207,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h01.24.188,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,2,1,5,hiragana3.xlsx,hiragana31.xlsx,,,,,,,,,,,,,,,,,m,2,0,92,44,1,91,e,q,d,f,,,0.214,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h01.24.188,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,2,1,5,hiragana3.xlsx,hiragana31.xlsx,,,,,,,,,,,,,,,,,m,2,0,92,43,1,91,T,e,e,d,,,0.044,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h01.24.188,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,2,1,5,hiragana3.xlsx,hiragana31.xlsx,,,,,,,,,,,,,,,,,m,2,0,92,4,1,91,T,q,E,F,,,0.229,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h01.24.188,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,2,1,5,hiragana3.xlsx,hiragana31.xlsx,,,,,,,,,,,,,,,,,m,2,0,92,3,1,91,e,f,D,C,,,0.243,,
