welc_resp.keys,welc_resp.rt,instr0_resp.keys,instr0_resp.rt,prep_resp.keys,prep_resp.corr,prep_resp.rt,preparation.thisRepN,preparation.thisTrialN,preparation.thisN,preparation.thisIndex,preparation.ran,preparation.order,letter10,letter20,corrAns0,participant,,date,expName,psychopyVersion,frameRate,outro_resp.keys,outro_resp.rt,instr1_resp.keys,instr1_resp.rt,resp.keys,resp.corr,resp.rt,letterMaster.thisRepN,letterMaster.thisTrialN,letterMaster.thisN,letterMaster.thisIndex,letterMaster.ran,letterMaster.order,letterset,letterset2,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,practice.order,letter1,letter2,corrAns,letterA,letterC,letterE
space,0.982,space,1.04,m,1,0.478,1,0,10,7,1,9,L,U,m,,,2019-05-23_16h59.18.156,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,c,1,0.344,1,0,10,1,1,9,U,L,c,,,2019-05-23_16h59.18.156,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,m,1,0.33,1,0,10,3,1,9,L,U,m,,,2019-05-23_16h59.18.156,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,c,1,0.281,1,0,10,4,1,9,U,L,c,,,2019-05-23_16h59.18.156,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,c,1,0.346,1,0,10,6,1,9,U,L,c,,,2019-05-23_16h59.18.156,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,m,1,0.33,1,0,10,2,1,9,L,U,m,,,2019-05-23_16h59.18.156,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,c,0,0.28,1,0,10,9,1,9,U,L,m,,,2019-05-23_16h59.18.156,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,c,1,0.38,1,0,10,0,1,9,U,L,c,,,2019-05-23_16h59.18.156,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,c,1,0.314,1,0,10,5,1,9,U,L,c,,,2019-05-23_16h59.18.156,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,m,0,0.364,1,0,10,8,1,9,L,U,c,,,2019-05-23_16h59.18.156,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_16h59.18.156,Probabilistic Learning,3.1.0,60,space,0.91,space,0.998,c,1,0.477,1,0,6,5,1,5,hiragana6.xlsx,hiragana61.xlsx,6,0,180,21,1,179,l,C,c,,,c
,,,,,,,,,,,,,,,,,,2019-05-23_16h59.18.156,Probabilistic Learning,3.1.0,60,,,,,m,0,0.526,1,0,6,5,1,5,hiragana6.xlsx,hiragana61.xlsx,6,0,180,12,1,179,Y,F,c,,c,
,,,,,,,,,,,,,,,,,,2019-05-23_16h59.18.156,Probabilistic Learning,3.1.0,60,,,,,m,1,0.48,1,0,6,5,1,5,hiragana6.xlsx,hiragana61.xlsx,6,0,180,14,1,179,F,Y,m,,m,
