letter10,letter20,corrAns0,letterset,letterset2,letterset3,letter1,letter2,corrAns,letterA,letterC,letterE,letter3,letter4,letterA2,letterB2,pickA,avoidB,preparation.thisRepN,preparation.thisTrialN,preparation.thisN,preparation.thisIndex,letterMaster.thisRepN,letterMaster.thisTrialN,letterMaster.thisN,letterMaster.thisIndex,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,text.started,text.stopped,welc_resp.keys,welc_resp.rt,welc_resp.started,welc_resp.stopped,instr1.started,instr1.stopped,intr0_resp.keys,intr0_resp.rt,intr0_resp.started,intr0_resp.stopped,fixation0.started,fixation0.stopped,letter0_1.started,letter0_1.stopped,letter0_2.started,letter0_2.stopped,prep_resp.keys,prep_resp.corr,prep_resp.rt,prep_resp.started,prep_resp.stopped,prep_feedb.started,prep_feedb.stopped,prep_outro.started,prep_outro.stopped,outro_resp.keys,outro_resp.rt,outro_resp.started,outro_resp.stopped,pract_intr.started,pract_intr.stopped,instr1_resp.keys,instr1_resp.rt,instr1_resp.started,instr1_resp.stopped,resp1,resp2,resp3,response1,response2,response3,Corr1,Corr2,Corr3,jitter,myCount1,myCount2,myCount3,myCount,fixation1.started,fixation1.stopped,letter1_1.started,letter1_1.stopped,letter1_2.started,letter1_2.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,blank_feed.started,blank_feed.stopped,feedb.started,feedb.stopped,instr2.started,instr2.stopped,instr2_resp.keys,instr2_resp.rt,instr2_resp.started,instr2_resp.stopped,instr3.started,instr3.stopped,instr3_resp.keys,instr3_resp.rt,instr3_resp.started,instr3_resp.stopped,posLB,negLB,fixation2.started,fixation2.stopped,letter2_1.started,letter2_1.stopped,letter2_2.started,letter2_2.stopped,test_resp.keys,test_resp.rt,test_resp.started,test_resp.stopped,check.started,check.stopped,check_resp.keys,check_resp.rt,check_resp.started,check_resp.stopped,participant,,date,expName,psychopyVersion,frameRate,
U,L,c,,,,,,,,,,,,,,,,0,8,8,5,,,,,,,,,,,,,,,,,,,,,,,,,24.088806106476113,24.589082199847326,24.605424054781906,None,24.605424054781906,None,c,1,0.366927090799436,24.605424054781906,None,24.988841310958378,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1746,Probabilistic Learning,3.1.0,59.952803593185514,
L,U,m,,,,,,,,,,,,,,,,0,9,9,2,,,,,,,,,,,,,,,,,,,,,,,,,25.588864609482698,26.089056027471088,26.10552053351421,None,26.10552053351421,None,m,1,0.33373943355400115,26.10552053351421,None,26.455614651553333,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1746,Probabilistic Learning,3.1.0,59.952803593185514,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.056737705133855,None,space,1.2993144877254963,27.056737705133855,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1746,Probabilistic Learning,3.1.0,59.952803593185514,
,,,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,J,s,c,m,None,None,,,,,,,,,,,0,0,0,1,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.376270132139325,None,space,1.2304430427029729,28.376270132139325,None,1,0,0,[1],[0],[0],[],[],[],0.7,1,0,0,1,29.64561155193951,30.339282341883518,30.355952121899463,None,30.355952121899463,None,m,0,0.3689084970392287,30.355952121899463,None,30.74224988394417,31.089132491964847,31.10579919279553,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1746,Probabilistic Learning,3.1.0,59.952803593185514,
,,,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,V,W,c,None,None,c,,,,,,,,,,,0,0,0,1,0,1,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,"[1, 0]","[0, 0]","[0, 0]",[],[],[],0.7,2,0,0,1,31.694182435050607,32.38906536740251,32.40585471945815,None,32.40585471945815,None,m,0,0.3671046526869759,32.40585471945815,None,32.78920423518866,33.13926448300481,33.15600097703282,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1746,Probabilistic Learning,3.1.0,59.952803593185514,
,,,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,s,J,c,c,None,None,,,,,,,,,,,0,0,0,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,"[1, 0, 1]","[0, 0, 0]","[0, 0, 0]",[],[],[],0.6,3,0,0,1,33.73919438198209,34.33927464415319,34.35601319081616,None,34.35601319081616,None,c,1,0.4688543047523126,34.35601319081616,None,34.84072849643417,35.18925175606273,35.20613810000941,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1746,Probabilistic Learning,3.1.0,59.952803593185514,
,,,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,s,J,c,c,None,None,,,,,,,,,,,0,0,0,1,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,"[1, 0, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]",[],[],[],0.8,4,0,0,1,35.78928685793653,36.58982118591666,36.60640115849674,None,36.60640115849674,None,c,1,0.4022952700033784,36.60640115849674,None,37.024877143558115,37.372650127043016,37.3892911686562,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1746,Probabilistic Learning,3.1.0,59.952803593185514,
,,,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,s,J,c,c,None,None,,,,,,,,,,,0,0,0,1,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,"[1, 0, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",[],[],[],0.5,5,0,0,1,37.97282686783001,38.4727278231876,38.4894032481825,None,38.4894032481825,None,c,1,0.41724126250483096,38.4894032481825,None,38.92251064337324,39.272775138844736,39.28953575249761,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1746,Probabilistic Learning,3.1.0,59.952803593185514,
,,,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,o,b,c,None,c,None,,,,,,,,,,,0,0,0,1,0,5,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,"[1, 0, 1, 1, 1, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]",[],[],[],0.5,6,0,0,1,39.87514523125719,40.37264088972006,40.38931272237096,None,40.38931272237096,None,None,0,,40.38931272237096,None,41.896708227694035,42.2236264096573,42.24024641071446,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1746,Probabilistic Learning,3.1.0,59.952803593185514,
,,,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,W,V,c,None,None,m,,,,,,,,,,,0,0,0,1,0,6,6,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,"[1, 0, 1, 1, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1]",[],[],[],0.6,7,0,0,1,42.82709728332702,43.42295865365304,43.43966486980207,None,43.43966486980207,None,m,0,0.5005783591186628,43.43966486980207,None,43.95715625851881,44.306284562917426,44.32301541196648,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1746,Probabilistic Learning,3.1.0,59.952803593185514,
,,,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,o,b,m,None,c,None,,,,,,,,,,,0,0,0,1,0,7,7,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,"[1, 0, 1, 1, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 1, 0]",[],[],[],0.5,8,0,0,1,44.906657853513025,45.406486449879594,45.424186191638,None,45.424186191638,None,c,0,0.46606514579616487,45.424186191638,None,45.90648388385307,46.25649999792222,46.27315130329225,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1746,Probabilistic Learning,3.1.0,59.952803593185514,
,,,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,J,s,m,m,None,None,,,,,,,,,,,0,0,0,1,0,8,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,"[1, 0, 1, 1, 1, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 1, 0, 0]",[],[],[],0.6,9,0,0,1,46.85660643246956,47.456761619541794,47.473177886218764,None,47.473177886218764,None,m,1,0.46720338938757777,47.473177886218764,None,47.95746519579552,48.30661351431627,48.32340491912328,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1746,Probabilistic Learning,3.1.0,59.952803593185514,
,,,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,b,o,c,None,m,None,,,,,,,,,,,0,0,0,1,0,9,9,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,"[1, 0, 1, 1, 1, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",[],[],[],0.6,10,0,0,1,48.90675587183796,49.50680996151641,49.523319627856836,None,49.523319627856836,None,m,0,0.5166851755930111,49.523319627856836,None,50.05674283695407,50.40682515176013,50.423287091893144,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1746,Probabilistic Learning,3.1.0,59.952803593185514,
,,,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,b,o,m,None,m,None,,,,,,,,,,,0,0,0,1,0,10,10,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,"[1, 0, 1, 1, 1, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",[],[],[],0.8,11,0,0,1,51.006798671442084,51.80665918777231,51.823421854292974,None,51.823421854292974,None,m,1,0.45104320195969194,51.823421854292974,None,52.29190256050788,52.64002297015395,52.65674560808111,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1746,Probabilistic Learning,3.1.0,59.952803593185514,
,,,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,J,s,m,m,None,None,,,,,,,,,,,0,0,0,1,0,11,11,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,"[1, 0, 1, 1, 1, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",[],[],[],0.4,12,0,0,1,53.24000470072497,53.64008865773212,53.65709611331113,None,53.65709611331113,None,m,1,0.4165156192611903,53.65709611331113,None,54.09021736448631,54.44019088416826,54.456882217898965,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1746,Probabilistic Learning,3.1.0,59.952803593185514,
,,,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,o,b,c,None,c,None,,,,,,,,,,,0,0,0,1,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,"[1, 0, 1, 1, 1, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",[],[],[],0.3,13,0,0,1,55.04384342522826,55.34023122047074,55.35689894773532,None,55.35689894773532,None,c,1,0.3847402463434264,55.35689894773532,None,55.75698649708647,56.106857379782014,56.123688812949695,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1746,Probabilistic Learning,3.1.0,59.952803593185514,
,,,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,W,V,c,None,None,m,,,,,,,,,,,0,0,0,1,0,13,13,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,"[1, 0, 1, 1, 1, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",[],[],[],0.3,14,0,0,1,56.70722553844098,57.00692183570936,57.0242556767771,None,57.0242556767771,None,m,0,0.3832571425009519,57.0242556767771,None,57.42404557892587,57.7737440316705,57.79043331264984,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1746,Probabilistic Learning,3.1.0,59.952803593185514,
,,,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,s,J,c,c,None,None,,,,,,,,,,,0,0,0,1,0,14,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,"[1, 0, 1, 1, 1, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",[],[],[],0.4,15,0,0,1,58.37385508476291,58.77370708226226,58.79039841610938,None,58.79039841610938,None,m,0,0.3171060896711424,58.79039841610938,None,59.1251991156023,59.47352787817363,59.49042551219463,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1746,Probabilistic Learning,3.1.0,59.952803593185514,
,,,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,W,V,m,None,None,m,,,,,,,,,,,0,0,0,1,0,15,15,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,"[1, 0, 1, 1, 1, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",[],[],[],0.7,16,0,0,1,60.07393195992336,60.7740822203923,60.79060368996579,None,60.79060368996579,None,m,1,0.40034157584887,60.79060368996579,None,61.20761299296282,61.55715338466689,61.57394017081242,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1746,Probabilistic Learning,3.1.0,59.952803593185514,
,,,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,b,o,m,None,m,None,,,,,,,,,,,0,0,0,1,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,"[1, 0, 1, 1, 1, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",[],[],[],0.5,17,0,0,1,62.1574645799119,62.657208500779234,62.67451360344421,None,62.67451360344421,None,m,1,0.4998650324996561,62.67451360344421,None,63.190693805227056,63.54113637574483,63.557270390796475,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1746,Probabilistic Learning,3.1.0,59.952803593185514,
,,,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,V,W,m,None,None,c,,,,,,,,,,,0,0,0,1,0,17,17,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,"[1, 0, 1, 1, 1, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",[],[],[],0.5,18,0,0,1,64.1406670169672,64.64069780800492,64.65747638314497,None,64.65747638314497,None,c,0,0.39968008059076965,64.65747638314497,None,65.07406744069885,65.42387930711266,65.44052240147721,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1746,Probabilistic Learning,3.1.0,59.952803593185514,
,,,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,V,W,c,None,None,c,,,,,,,,,,,0,0,0,1,0,18,18,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,"[1, 0, 1, 1, 1, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",[],[],[],0.5,19,0,0,1,66.02408581261989,66.52458103594836,66.54085463727824,None,66.54085463727824,None,c,1,0.36690707656089216,66.54085463727824,None,66.92418465204537,67.27421256923117,67.2909701038152,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1746,Probabilistic Learning,3.1.0,59.952803593185514,
,,,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,b,o,c,None,m,None,,,,,,,,,,,0,0,0,1,0,19,19,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,"[1, 0, 1, 1, 1, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",[],[],[],0.6,20,0,0,1,67.87456892477348,68.47428995755035,68.49085402151104,None,68.49085402151104,None,m,0,0.45049358112737536,68.49085402151104,None,68.95765199500602,69.30736686952878,69.32411773269996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1746,Probabilistic Learning,3.1.0,59.952803593185514,
,,,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,b,o,m,None,m,None,,,,,,,,,,,0,0,0,1,0,20,20,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,"[1, 0, 1, 1, 1, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",[],[],[],0.3,21,0,0,1,69.90759287611581,70.20785521622747,70.22439721319824,None,70.22439721319824,None,m,1,0.5000271988101304,70.22439721319824,None,70.74099001544528,71.09107900166418,71.10774621577002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1746,Probabilistic Learning,3.1.0,59.952803593185514,
,,,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,V,W,m,None,None,c,,,,,,,,,,,0,0,0,1,0,21,21,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,"[1, 0, 1, 1, 1, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",[],[],[],0.7,22,0,0,1,71.69114900007844,72.3910478000762,72.40785562666133,None,72.40785562666133,None,c,0,0.5504768512910232,72.40785562666133,None,72.97436950122938,73.32482233538758,73.34149622090627,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1746,Probabilistic Learning,3.1.0,59.952803593185514,
