letter10,letter20,corrAns0,letterset,letterset2,letterset3,question,learnt_letters,numbers,preparation.thisRepN,preparation.thisTrialN,preparation.thisN,preparation.thisIndex,letterMaster.thisRepN,letterMaster.thisTrialN,letterMaster.thisN,letterMaster.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,text.stopped,welc_resp.keys,welc_resp.rt,welc_resp.started,welc_resp.stopped,instr1.started,instr1.stopped,intr0_resp.keys,intr0_resp.rt,intr0_resp.started,intr0_resp.stopped,fixation0.started,fixation0.stopped,letter0_1.started,letter0_1.stopped,letter0_2.started,letter0_2.stopped,prep_resp.keys,prep_resp.corr,prep_resp.rt,prep_resp.started,prep_resp.stopped,prep_feedb.started,prep_feedb.stopped,prep_outro.started,prep_outro.stopped,outro_resp.keys,outro_resp.rt,outro_resp.started,outro_resp.stopped,quest.started,quest.stopped,letter_string.started,letter_string.stopped,number_string.started,number_string.stopped,learnt_resp.keys,learnt_resp.rt,learnt_resp.started,learnt_resp.stopped,participant,,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,11.442792730871588,None,space,0.8261679058196023,11.442792730871588,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1818,Probabilistic Learning,3.1.0,60.09128030121248,
,,,,,,,,,,,,,,,,,,,,,,,,,,,12.285447209724225,None,space,0.33381333213765174,12.285447209724225,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1818,Probabilistic Learning,3.1.0,60.09128030121248,
U,L,c,,,,,,,0,0,0,5,,,,,,,,,,,,,,,,,,,,,12.722134068491869,13.218422716483474,13.235334719647653,None,13.235334719647653,None,c,1,0.3841788222780451,13.235334719647653,None,13.63652458973229,None,,,,,,,,,,,,,,,,,,,2019_May_27_1818,Probabilistic Learning,3.1.0,60.09128030121248,
L,U,m,,,,,,,0,1,1,7,,,,,,,,,,,,,,,,,,,,,14.235727819148451,14.735535888001323,14.751929574646056,None,14.751929574646056,None,c,0,0.10070172883570194,14.751929574646056,None,14.868354770820588,None,,,,,,,,,,,,,,,,,,,2019_May_27_1818,Probabilistic Learning,3.1.0,60.09128030121248,
L,U,c,,,,,,,0,2,2,8,,,,,,,,,,,,,,,,,,,,,15.468496615067124,15.96883993560914,15.985334719647653,None,15.985334719647653,None,c,1,0.10076792968902737,15.985334719647653,None,16.10195082053542,None,,,,,,,,,,,,,,,,,,,2019_May_27_1818,Probabilistic Learning,3.1.0,60.09128030121248,
U,L,c,,,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,16.70197206630837,17.202202999498695,17.218902544118464,None,17.218902544118464,None,c,1,0.10049183631781489,17.218902544118464,None,17.335469892481342,None,,,,,,,,,,,,,,,,,,,2019_May_27_1818,Probabilistic Learning,3.1.0,60.09128030121248,
U,L,m,,,,,,,0,4,4,9,,,,,,,,,,,,,,,,,,,,,17.935234032804146,18.43547625595238,18.452330269268714,None,18.452330269268714,None,c,0,0.08365167898591608,18.452330269268714,None,18.55211698974017,None,,,,,,,,,,,,,,,,,,,2019_May_27_1818,Probabilistic Learning,3.1.0,60.09128030121248,
U,L,c,,,,,,,0,5,5,6,,,,,,,,,,,,,,,,,,,,,19.15224343840964,19.65227063721977,19.668951707310043,None,19.668951707310043,None,c,1,0.08508295111823827,19.668951707310043,None,19.785760252387263,None,,,,,,,,,,,,,,,,,,,2019_May_27_1818,Probabilistic Learning,3.1.0,60.09128030121248,
L,U,m,,,,,,,0,6,6,2,,,,,,,,,,,,,,,,,,,,,20.368823308497667,20.86884178314358,20.885348883573897,None,20.885348883573897,None,c,0,0.06727184832561761,20.885348883573897,None,20.968909728806466,None,,,,,,,,,,,,,,,,,,,2019_May_27_1818,Probabilistic Learning,3.1.0,60.09128030121248,
U,L,c,,,,,,,0,7,7,4,,,,,,,,,,,,,,,,,,,,,21.568858615588397,22.068952015135437,22.085691588232294,None,22.085691588232294,None,c,1,0.05067083507310599,22.085691588232294,None,22.152293217368424,None,,,,,,,,,,,,,,,,,,,2019_May_27_1818,Probabilistic Learning,3.1.0,60.09128030121248,
