welc_resp.keys,welc_resp.rt,instr0_resp.keys,instr0_resp.rt,prep_resp.keys,prep_resp.corr,prep_resp.rt,preparation.thisRepN,preparation.thisTrialN,preparation.thisN,preparation.thisIndex,preparation.ran,preparation.order,letter10,letter20,corrAns0,participant,,date,expName,psychopyVersion,frameRate,outro_resp.keys,outro_resp.rt,instr1_resp.keys,instr1_resp.rt,resp.keys,resp.corr,resp.rt,letterMaster.thisRepN,letterMaster.thisTrialN,letterMaster.thisN,letterMaster.thisIndex,letterMaster.ran,letterMaster.order,letterset,letterset2,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,practice.order,letter1,letter2,corrAns,letterA,letterC,letterE
space,4.038,space,8.185,c,1,0.531,1,0,10,0,1,9,U,L,c,,,2019-05-23_16h51.08.880,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,c,1,0.422,1,0,10,6,1,9,U,L,c,,,2019-05-23_16h51.08.880,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,c,1,0.364,1,0,10,1,1,9,U,L,c,,,2019-05-23_16h51.08.880,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,c,1,0.33,1,0,10,4,1,9,U,L,c,,,2019-05-23_16h51.08.880,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,c,1,0.446,1,0,10,5,1,9,U,L,c,,,2019-05-23_16h51.08.880,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,m,1,0.38,1,0,10,2,1,9,L,U,m,,,2019-05-23_16h51.08.880,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,m,1,0.346,1,0,10,3,1,9,L,U,m,,,2019-05-23_16h51.08.880,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,c,0,0.364,1,0,10,9,1,9,U,L,m,,,2019-05-23_16h51.08.880,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,m,0,0.329,1,0,10,8,1,9,L,U,c,,,2019-05-23_16h51.08.880,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,m,1,0.345,1,0,10,7,1,9,L,U,m,,,2019-05-23_16h51.08.880,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_16h51.08.880,Probabilistic Learning,3.1.0,60,space,3.361,space,2.687,m,1,0.544,1,0,6,2,1,5,hiragana3.xlsx,hiragana31.xlsx,6,0,180,27,1,179,T,q,m,,,c
,,,,,,,,,,,,,,,,,,2019-05-23_16h51.08.880,Probabilistic Learning,3.1.0,60,,,,,c,1,0.595,1,0,6,2,1,5,hiragana3.xlsx,hiragana31.xlsx,6,0,180,1,1,179,P,t,c,c,,
,,,,,,,,,,,,,,,,,,2019-05-23_16h51.08.880,Probabilistic Learning,3.1.0,60,,,,,c,1,0.712,1,0,6,2,1,5,hiragana3.xlsx,hiragana31.xlsx,6,0,180,12,1,179,f,e,c,,c,
,,,,,,,,,,,,,,,,,,2019-05-23_16h51.08.880,Probabilistic Learning,3.1.0,60,,,,,m,1,0.514,1,0,6,2,1,5,hiragana3.xlsx,hiragana31.xlsx,6,0,180,14,1,179,e,f,m,,m,
,,,,,,,,,,,,,,,,,,2019-05-23_16h51.08.880,Probabilistic Learning,3.1.0,60,,,,,c,1,0.429,1,0,6,2,1,5,hiragana3.xlsx,hiragana31.xlsx,6,0,180,0,1,179,P,t,c,c,,
,,,,,,,,,,,,,,,,,,2019-05-23_16h51.08.880,Probabilistic Learning,3.1.0,60,,,,,m,1,0.379,1,0,6,2,1,5,hiragana3.xlsx,hiragana31.xlsx,6,0,180,6,1,179,t,P,m,m,,
,,,,,,,,,,,,,,,,,,2019-05-23_16h51.08.880,Probabilistic Learning,3.1.0,60,,,,,m,0,0.381,1,0,6,2,1,5,hiragana3.xlsx,hiragana31.xlsx,6,0,180,29,1,179,q,T,c,,,m
,,,,,,,,,,,,,,,,,,2019-05-23_16h51.08.880,Probabilistic Learning,3.1.0,60,,,,,c,0,0.464,1,0,6,2,1,5,hiragana3.xlsx,hiragana31.xlsx,6,0,180,19,1,179,f,e,m,,c,
,,,,,,,,,,,,,,,,,,2019-05-23_16h51.08.880,Probabilistic Learning,3.1.0,60,,,,,c,1,0.414,1,0,6,2,1,5,hiragana3.xlsx,hiragana31.xlsx,6,0,180,3,1,179,P,t,c,c,,
,,,,,,,,,,,,,,,,,,2019-05-23_16h51.08.880,Probabilistic Learning,3.1.0,60,,,,,m,0,0.697,1,0,6,2,1,5,hiragana3.xlsx,hiragana31.xlsx,6,0,180,20,1,179,T,q,c,,,c
